Ticket ID,Customer Name,text,emotion,Technical Details
TKT00001,Customer1,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Satellite, Speed Test: 435 Mbps down / 82 Mbps up, Router: ISP Provided Modem"
TKT00002,Customer2,"Customer: Your technician was very professional and fixed my issue in no time.
Agent: We appreciate your feedback! Have a great day!",Satisfaction,"Connection Type: Satellite, Speed Test: 298 Mbps down / 94 Mbps up, Router: Linksys Velop"
TKT00003,Customer3,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: DSL, Speed Test: 366 Mbps down / 47 Mbps up, Router: Linksys Velop"
TKT00004,Customer4,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: DSL, Speed Test: 92 Mbps down / 51 Mbps up, Router: Google Nest WiFi"
TKT00005,Customer5,"Customer: My router just stopped working, and I have an important meeting in 10 minutes!
Agent: Let’s try a quick reset. If that doesn’t work, I’ll arrange for a replacement.",Urgency,"Connection Type: Satellite, Speed Test: 290 Mbps down / 52 Mbps up, Router: Google Nest WiFi"
TKT00006,Customer6,"Customer: I have called multiple times, and my issue is still unresolved!
Agent: I sincerely apologize. Let me escalate this to a higher support tier.",Frustration,"Connection Type: DSL, Speed Test: 244 Mbps down / 47 Mbps up, Router: ISP Provided Modem"
TKT00007,Customer7,"Customer: I have called multiple times, and my issue is still unresolved!
Agent: I sincerely apologize. Let me escalate this to a higher support tier.",Frustration,"Connection Type: Fiber, Speed Test: 359 Mbps down / 15 Mbps up, Router: ISP Provided Modem"
TKT00008,Customer8,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Fiber, Speed Test: 493 Mbps down / 11 Mbps up, Router: Netgear Nighthawk"
TKT00009,Customer9,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Cable, Speed Test: 432 Mbps down / 68 Mbps up, Router: ISP Provided Modem"
TKT00010,Customer10,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Satellite, Speed Test: 199 Mbps down / 91 Mbps up, Router: Linksys Velop"
TKT00011,Customer11,"Customer: I don’t understand how to set up my new modem. The instructions are unclear.
Agent: No worries! I’ll guide you through the setup step by step.",Confusion,"Connection Type: DSL, Speed Test: 211 Mbps down / 30 Mbps up, Router: ISP Provided Modem"
TKT00012,Customer12,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Satellite, Speed Test: 291 Mbps down / 77 Mbps up, Router: Google Nest WiFi"
TKT00013,Customer13,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: Fiber, Speed Test: 347 Mbps down / 40 Mbps up, Router: Google Nest WiFi"
TKT00014,Customer14,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Satellite, Speed Test: 234 Mbps down / 83 Mbps up, Router: ISP Provided Modem"
TKT00015,Customer15,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Cable, Speed Test: 269 Mbps down / 17 Mbps up, Router: Google Nest WiFi"
TKT00016,Customer16,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Satellite, Speed Test: 73 Mbps down / 45 Mbps up, Router: Linksys Velop"
TKT00017,Customer17,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: Satellite, Speed Test: 75 Mbps down / 21 Mbps up, Router: Netgear Nighthawk"
TKT00018,Customer18,"Customer: My internet is completely down! I work from home, and I need this fixed now!
Agent: I understand. Let me check if there is an outage in your area.",Urgency,"Connection Type: Satellite, Speed Test: 398 Mbps down / 33 Mbps up, Router: TP-Link Archer"
TKT00019,Customer19,"Customer: My router just stopped working, and I have an important meeting in 10 minutes!
Agent: Let’s try a quick reset. If that doesn’t work, I’ll arrange for a replacement.",Urgency,"Connection Type: Cable, Speed Test: 144 Mbps down / 12 Mbps up, Router: Linksys Velop"
TKT00020,Customer20,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: DSL, Speed Test: 89 Mbps down / 30 Mbps up, Router: ISP Provided Modem"
TKT00021,Customer21,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Cable, Speed Test: 391 Mbps down / 34 Mbps up, Router: ISP Provided Modem"
TKT00022,Customer22,"Customer: Your technician was very professional and fixed my issue in no time.
Agent: We appreciate your feedback! Have a great day!",Satisfaction,"Connection Type: Fiber, Speed Test: 88 Mbps down / 93 Mbps up, Router: ISP Provided Modem"
TKT00023,Customer23,"Customer: My internet keeps disconnecting! I reboot the router, but it still happens.
Agent: I understand your frustration. Let’s check your connection stability.",Frustration,"Connection Type: Fiber, Speed Test: 347 Mbps down / 9 Mbps up, Router: TP-Link Archer"
TKT00024,Customer24,"Customer: My internet keeps disconnecting! I reboot the router, but it still happens.
Agent: I understand your frustration. Let’s check your connection stability.",Frustration,"Connection Type: Fiber, Speed Test: 273 Mbps down / 21 Mbps up, Router: Google Nest WiFi"
TKT00025,Customer25,"Customer: My router just stopped working, and I have an important meeting in 10 minutes!
Agent: Let’s try a quick reset. If that doesn’t work, I’ll arrange for a replacement.",Urgency,"Connection Type: Cable, Speed Test: 406 Mbps down / 10 Mbps up, Router: ISP Provided Modem"
TKT00026,Customer26,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Cable, Speed Test: 473 Mbps down / 98 Mbps up, Router: Netgear Nighthawk"
TKT00027,Customer27,"Customer: I have called multiple times, and my issue is still unresolved!
Agent: I sincerely apologize. Let me escalate this to a higher support tier.",Frustration,"Connection Type: Fiber, Speed Test: 109 Mbps down / 93 Mbps up, Router: Linksys Velop"
TKT00028,Customer28,"Customer: My router just stopped working, and I have an important meeting in 10 minutes!
Agent: Let’s try a quick reset. If that doesn’t work, I’ll arrange for a replacement.",Urgency,"Connection Type: Cable, Speed Test: 5 Mbps down / 29 Mbps up, Router: ISP Provided Modem"
TKT00029,Customer29,"Customer: I don’t understand how to set up my new modem. The instructions are unclear.
Agent: No worries! I’ll guide you through the setup step by step.",Confusion,"Connection Type: Fiber, Speed Test: 149 Mbps down / 74 Mbps up, Router: ISP Provided Modem"
TKT00030,Customer30,"Customer: I have called multiple times, and my issue is still unresolved!
Agent: I sincerely apologize. Let me escalate this to a higher support tier.",Frustration,"Connection Type: DSL, Speed Test: 491 Mbps down / 88 Mbps up, Router: Google Nest WiFi"
TKT00031,Customer31,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: Fiber, Speed Test: 7 Mbps down / 7 Mbps up, Router: TP-Link Archer"
TKT00032,Customer32,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Satellite, Speed Test: 285 Mbps down / 65 Mbps up, Router: ISP Provided Modem"
TKT00033,Customer33,"Customer: Your technician was very professional and fixed my issue in no time.
Agent: We appreciate your feedback! Have a great day!",Satisfaction,"Connection Type: DSL, Speed Test: 466 Mbps down / 3 Mbps up, Router: Google Nest WiFi"
TKT00034,Customer34,"Customer: Your technician was very professional and fixed my issue in no time.
Agent: We appreciate your feedback! Have a great day!",Satisfaction,"Connection Type: DSL, Speed Test: 444 Mbps down / 18 Mbps up, Router: TP-Link Archer"
TKT00035,Customer35,"Customer: Your technician was very professional and fixed my issue in no time.
Agent: We appreciate your feedback! Have a great day!",Satisfaction,"Connection Type: Satellite, Speed Test: 473 Mbps down / 4 Mbps up, Router: Google Nest WiFi"
TKT00036,Customer36,"Customer: I have called multiple times, and my issue is still unresolved!
Agent: I sincerely apologize. Let me escalate this to a higher support tier.",Frustration,"Connection Type: DSL, Speed Test: 237 Mbps down / 9 Mbps up, Router: Linksys Velop"
TKT00037,Customer37,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: Cable, Speed Test: 313 Mbps down / 56 Mbps up, Router: Google Nest WiFi"
TKT00038,Customer38,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: DSL, Speed Test: 37 Mbps down / 80 Mbps up, Router: Netgear Nighthawk"
